timestamp,cluster,warehouses,duration_seconds,git_branch,run_type,metric_value,metric_name
2025-05-21 17:35:39,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-21 19:42:37,perf9,16000,7200,origin/main,default_oltp_sink_on,205247,tpmC
2025-05-21 19:42:37,perf9,16000,7200,origin/main,default_oltp_sink_on,79,newOrderLatency90
2025-05-21 21:24:04,perf2,16000,7200,origin/main,default,205043,tpmC
2025-05-21 21:24:04,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-21 23:18:24,perf9,16000,7200,origin/main,default_oltp_sink_on,87,newOrderLatency90
2025-05-21 23:18:24,perf9,16000,7200,origin/main,default_oltp_sink_on,205220,tpmC
2025-05-21 23:36:40,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-21 23:36:40,perf2,12000,1800,origin/main,latency,154079,tpmC
2025-05-22 00:15:27,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-22 00:15:27,perf7,5000,3600,origin/main,default,64277,tpmC
2025-05-22 02:54:39,perf9,16000,7200,origin/main,default_oltp_sink_on,87,newOrderLatency90
2025-05-22 02:54:39,perf9,16000,7200,origin/main,default_oltp_sink_on,205130,tpmC
2025-05-22 04:54:18,perf3,16000,7200,origin/stable-25-1,default,90,newOrderLatency90
2025-05-22 04:54:18,perf3,16000,7200,origin/stable-25-1,default,205131,tpmC
2025-05-22 06:57:00,perf9,16000,7200,origin/main,default_oltp_sink_on,205099,tpmC
2025-05-22 06:57:00,perf9,16000,7200,origin/main,default_oltp_sink_on,88,newOrderLatency90
2025-05-22 07:27:08,perf3,12000,1800,origin/stable-25-1,latency,154085,tpmC
2025-05-22 07:27:08,perf3,12000,1800,origin/stable-25-1,latency,40,newOrderLatency90
2025-05-22 09:40:02,perf7,5000,3600,origin/main,default,64231,tpmC
2025-05-22 09:40:02,perf7,5000,3600,origin/main,default,27,newOrderLatency90
2025-05-22 10:59:04,perf9,16000,7200,origin/main,default_oltp_sink_on,74,newOrderLatency90
2025-05-22 10:59:04,perf9,16000,7200,origin/main,default_oltp_sink_on,205257,tpmC
2025-05-22 12:04:39,perf3,16000,7200,origin/stable-24-4,default,124,newOrderLatency90
2025-05-22 12:04:39,perf3,16000,7200,origin/stable-24-4,default,204774,tpmC
2025-05-22 12:17:31,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-22 12:17:31,perf7,5000,3600,origin/main,default,64267,tpmC
2025-05-22 13:23:52,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-22 13:23:52,perf2,16000,7200,origin/main,default,205048,tpmC
2025-05-22 14:17:13,perf3,12000,1800,origin/stable-24-4,latency,44,newOrderLatency90
2025-05-22 14:17:13,perf3,12000,1800,origin/stable-24-4,latency,154103,tpmC
2025-05-22 14:19:06,perf7,5000,3600,origin/main,default,64265,tpmC
2025-05-22 14:19:06,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-22 14:45:29,perf9,16000,7200,origin/main,default_oltp_sink_on,89,newOrderLatency90
2025-05-22 14:45:29,perf9,16000,7200,origin/main,default_oltp_sink_on,205107,tpmC
2025-05-22 15:36:27,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-22 15:36:27,perf2,12000,1800,origin/main,latency,154068,tpmC
2025-05-22 16:41:46,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-22 16:41:46,perf7,5000,3600,origin/main,default,64250,tpmC
2025-05-22 19:11:41,perf3,16000,7200,origin/stable-25-1-analytics,default,83,newOrderLatency90
2025-05-22 19:11:41,perf3,16000,7200,origin/stable-25-1-analytics,default,205210,tpmC
2025-05-22 19:36:45,perf7,5000,3600,origin/main,default,64251,tpmC
2025-05-22 19:36:45,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-22 19:54:02,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-22 19:54:02,perf2,16000,7200,origin/main,default,205102,tpmC
2025-05-22 21:24:13,perf3,12000,1800,origin/stable-25-1-analytics,latency,41,newOrderLatency90
2025-05-22 21:24:13,perf3,12000,1800,origin/stable-25-1-analytics,latency,154140,tpmC
2025-05-22 21:38:34,perf7,5000,3600,origin/main,default,64286,tpmC
2025-05-22 21:38:34,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-22 21:41:29,perf9,16000,7200,origin/main,default_oltp_sink_on,86,newOrderLatency90
2025-05-22 21:41:29,perf9,16000,7200,origin/main,default_oltp_sink_on,205098,tpmC
2025-05-22 22:06:40,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-22 22:06:40,perf2,12000,1800,origin/main,latency,154054,tpmC
2025-05-22 23:37:47,perf7,5000,3600,origin/main,default,64299,tpmC
2025-05-22 23:37:47,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 01:36:48,perf7,5000,3600,origin/main,default,64290,tpmC
2025-05-23 01:36:48,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 02:34:16,perf2,16000,7200,origin/main,default,204975,tpmC
2025-05-23 02:34:16,perf2,16000,7200,origin/main,default,184,newOrderLatency90
2025-05-23 02:39:43,perf3,16000,7200,origin/main,default,110009,tpmC
2025-05-23 02:39:43,perf3,16000,7200,origin/main,default,7750,newOrderLatency90
2025-05-23 03:16:20,perf9,16000,7200,origin/main,default_oltp_sink_on,128511,tpmC
2025-05-23 03:16:20,perf9,16000,7200,origin/main,default_oltp_sink_on,8000,newOrderLatency90
2025-05-23 03:37:13,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 03:37:13,perf7,5000,3600,origin/main,default,64228,tpmC
2025-05-23 04:16:14,perf4,16000,14400,origin/main,default_EnableLocalDBBtreeIndex_false,204736,tpmC
2025-05-23 04:16:14,perf4,16000,14400,origin/main,default_EnableLocalDBBtreeIndex_false,112,newOrderLatency90
2025-05-23 04:46:49,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-23 04:46:49,perf2,12000,1800,origin/main,latency,154037,tpmC
2025-05-23 07:07:02,perf9,16000,7200,origin/stable-25-1-1,default_oltp_sink_on,205131,tpmC
2025-05-23 07:07:02,perf9,16000,7200,origin/stable-25-1-1,default_oltp_sink_on,88,newOrderLatency90
2025-05-23 08:24:30,perf7,5000,3600,origin/main,default,64279,tpmC
2025-05-23 08:24:30,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 08:28:52,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,45,newOrderLatency90
2025-05-23 08:28:52,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154161,tpmC
2025-05-23 09:31:18,perf3,16000,7200,origin/stable-25-1,default,77,newOrderLatency90
2025-05-23 09:31:18,perf3,16000,7200,origin/stable-25-1,default,205257,tpmC
2025-05-23 09:33:20,perf2,16000,7200,origin/main,default,204934,tpmC
2025-05-23 09:33:20,perf2,16000,7200,origin/main,default,184,newOrderLatency90
2025-05-23 09:42:07,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154094,tpmC
2025-05-23 09:42:07,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,44,newOrderLatency90
2025-05-23 10:24:49,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 10:24:49,perf7,5000,3600,origin/main,default,64254,tpmC
2025-05-23 11:01:09,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154050,tpmC
2025-05-23 11:01:09,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,53,newOrderLatency90
2025-05-23 11:03:17,perf9,16000,7200,origin/main,default_oltp_sink_on,205218,tpmC
2025-05-23 11:03:17,perf9,16000,7200,origin/main,default_oltp_sink_on,78,newOrderLatency90
2025-05-23 11:45:57,perf2,12000,1800,origin/main,latency,154044,tpmC
2025-05-23 11:45:57,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-23 11:57:45,perf3,12000,1800,origin/stable-25-1,latency,39,newOrderLatency90
2025-05-23 11:57:45,perf3,12000,1800,origin/stable-25-1,latency,154109,tpmC
2025-05-23 12:21:19,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,41,newOrderLatency90
2025-05-23 12:21:19,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154106,tpmC
2025-05-23 12:24:03,perf7,5000,3600,origin/main,default,64285,tpmC
2025-05-23 12:24:03,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-23 13:42:53,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,39,newOrderLatency90
2025-05-23 13:42:53,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154158,tpmC
2025-05-23 14:18:18,perf9,5000,3600,origin/main,default_oltp_sink_on,55622,tpmC
2025-05-23 14:18:18,perf9,5000,3600,origin/main,default_oltp_sink_on,16,newOrderLatency90
2025-05-23 14:59:12,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,51,newOrderLatency90
2025-05-23 14:59:12,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154046,tpmC
2025-05-23 16:06:44,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-23 16:06:44,perf7,5000,3600,origin/main,default,64262,tpmC
2025-05-23 16:11:12,perf2,16000,7200,origin/main,default,204938,tpmC
2025-05-23 16:11:12,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-23 16:13:00,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,53,newOrderLatency90
2025-05-23 16:13:00,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154105,tpmC
2025-05-23 16:44:35,perf3,16000,7200,origin/main,default,204989,tpmC
2025-05-23 16:44:35,perf3,16000,7200,origin/main,default,95,newOrderLatency90
2025-05-23 17:11:25,perf9,16000,7200,origin/main,default_oltp_sink_on,98,newOrderLatency90
2025-05-23 17:11:25,perf9,16000,7200,origin/main,default_oltp_sink_on,205092,tpmC
2025-05-23 18:06:01,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-23 18:06:01,perf7,5000,3600,origin/main,default,64223,tpmC
2025-05-23 18:23:49,perf2,12000,1800,origin/main,latency,154050,tpmC
2025-05-23 18:23:49,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-23 18:57:09,perf3,12000,1800,origin/main,latency,44,newOrderLatency90
2025-05-23 18:57:09,perf3,12000,1800,origin/main,latency,154076,tpmC
2025-05-23 20:25:32,perf7,5000,3600,origin/main,default,64290,tpmC
2025-05-23 20:25:32,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 21:14:53,perf9,16000,7200,origin/main,default_oltp_sink_on,205263,tpmC
2025-05-23 21:14:53,perf9,16000,7200,origin/main,default_oltp_sink_on,76,newOrderLatency90
2025-05-23 22:24:51,perf7,5000,3600,origin/main,default,64246,tpmC
2025-05-23 22:24:51,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-23 22:54:55,perf2,16000,7200,origin/main,default,204961,tpmC
2025-05-23 22:54:55,perf2,16000,7200,origin/main,default,184,newOrderLatency90
2025-05-23 23:43:57,perf3,16000,7200,origin/stable-25-1,default,205272,tpmC
2025-05-23 23:43:57,perf3,16000,7200,origin/stable-25-1,default,78,newOrderLatency90
2025-05-24 00:24:16,perf7,5000,3600,origin/main,default,64274,tpmC
2025-05-24 00:24:16,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-24 01:08:14,perf9,16000,7200,origin/main,default_oltp_sink_on,205196,tpmC
2025-05-24 01:08:14,perf9,16000,7200,origin/main,default_oltp_sink_on,80,newOrderLatency90
2025-05-24 01:09:25,perf2,12000,1800,origin/main,latency,154035,tpmC
2025-05-24 01:09:25,perf2,12000,1800,origin/main,latency,124,newOrderLatency90
2025-05-24 01:56:26,perf3,12000,1800,origin/stable-25-1,latency,154066,tpmC
